no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
60,イヌガシ,クスノキ,Neolitsea aciculata (Blume) Koidz.,Neolitsea_aciculata,Lauraceae,sp,angiosperm,W,E,239,100,66.367,10,6.6367,1.0705,1.0058,0.0647,0.3475,161.3000437,0.519660194,147.0591674,0.423191849
,,,,,,,,,,,,,,,,,,,,,,
61,モクタチバナ,ヤブコウジ,Ardisia sieboldii Miq.,Ardisia_sieboldii,Primulaceae,sp,angiosperm,W,E,239,100,95.313,8,11.914125,1.0588,1.0105,0.0483,0.305,111.0866304,0.384878226,110.1352206,0.361099084
,,,,,,,,,,,,,,,,,,,,,,
62,ツタ,ブドウ,Parthenocissus tricuspidata (Siebold et Zucc.) Planch.,Parthenocissus_tricuspidata,Vitaceae,sp,angiosperm,W,D,239,100,199.594,4,49.8985,1.8641,1.6788,0.1853,0.24,93.39459102,0.398482257,78.304232,0.326267633
,,,,,,,,,,,,,,,,,,,,,,
63,モクタチバナ,ヤブコウジ,Ardisia sieboldii Miq.,Ardisia_sieboldii,Primulaceae,sp,angiosperm,W,E,239,100,64.455,10,6.4455,0.7339,0.696,0.0379,0.255,113.8623846,0.410688304,116.5014183,0.456868307
,,,,,,,,,,,,,,,,,,,,,,
64,フカノキ,ウコギ,Schefflera heptaphylla (L.) Frodin,Schefflera_heptaphylla,Araliaceae,sp,angiosperm,W,E,239,100,166.378,8,20.79725,2.2068,2.0498,0.157,0.3475,132.6377285,0.352355101,123.5042358,0.355407873
,,,,,,,,,,,,,,,,,,,,,,
65,バリバリノキ,クスノキ,Litsea acuminata (Blume) Sa.Kurata,Actinodaphne_acuminata,Lauraceae,sp,angiosperm,W,E,239,100,131.866,4,32.9665,1.7365,1.6196,0.1169,0.2745,131.6867123,0.496994848,97.40282517,0.35483725
,,,,,,,,,,,,,,,,,,,,,,
66,ホルトノキ,ホルトノキ,Elaeocarpus sylvestris (Lour.) Poir.  var. ellipticus (Thunb.) H.Hara,Elaeocarpus_sylvestris_var_ellipticus,Elaeocarpaceae,var,angiosperm,W,E,239,100,99.476,10,9.9476,1.4348,1.3666,0.0682,0.315,144.2357956,0.47150838,150.8788861,0.478980591
,,,,,,,,,,,,,,,,,,,,,,
67,アブラギリ,トウダイグサ,Vernicia cordata (Thunb.) Airy Shaw,Vernicia_cordata,Euphorbiaceae,sp,angiosperm,W,D,239,100,268.175,3,89.39166667,1.9141,1.6196,0.2945,0.234,71.37503496,0.306256,77.03099246,0.329192275
,,,,,,,,,,,,,,,,,,,,,,
68,ヤブツバキ,ツバキ,Camellia japonica L.,Camellia_japonica,Theaceae,sp,angiosperm,W,E,239,100,53.178,6,8.863,1.0904,1.027,0.0634,0.4995,205.0472,0.459696459,192.2591713,0.384903246
,,,,,,,,,,,,,,,,,,,,,,
69,バクチノキ,バラ,Prunus zippeliana Miq.,Prunus_zippeliana,Rosaceae,sp,angiosperm,W,E,218,100,163.548,6,27.258,2.0037,1.9118,0.0919,0.3385,122.5144912,0.420150975,122.2309963,0.361096001
,,,,,,,,,,,,,,,,,,,,,,
70,トキワガキ,カキノキ,Diospyros morrisiana Hance,Diospyros_morrisiana,Ebenaceae,sp,angiosperm,W,E,204,100,124.742,8,15.59275,1.6349,1.5617,0.0732,0.355,131.062513,0.386044864,119.6845172,0.337139485
,,,,,,,,,,,,,,,,,,,,,,
71,アデク,フトモモ,Syzygium buxifolium Hook. et Arn.,Syzygium_buxifolium,Myrtaceae,sp,angiosperm,W,E,204,50,45.69,15,3.046,0.5742,0.5445,0.0297,2.89,125.6730138,0.472203947,140.6929697,0.048682688
,,,,,,,,,,,,,,,,,,,,,,
72,リュウキュウマメガキ,カキノキ,Diospyros japonica Siebold et Zucc.,Diospyros_japonica,Ebenaceae,sp,angiosperm,W,D,204,100,207.707,4,51.92675,2.6033,2.4336,0.1697,0.23,125.3352078,0.514995054,119.6845172,0.520367466
,,,,,,,,,,,,,,,,,,,,,,
