no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
230,クスノキ,クスノキ,Cinnamomum camphora (L.) J.Presl,Cinnamomum_camphora,Lauraceae,sp,angiosperm,W,E,100,100,108.278,5,21.6556,0.9633,,,0.223,88.96544081,0.415932642,86.58028904,0.388252417
,,,,,,,,,,,,,,,,,,,,,,
231,ハドノキ,イラクサ,Oreocnide pedunculata (Shirai) Masam.,Oreocnide_pedunculata,Urticaceae,sp,angiosperm,W,E,100,40,108.432,8,13.554,0.6142,,,0.182,56.64379519,0.320898642,57.29577951,0.314811975
,,,,,,,,,,,,,,,,,,,,,,
232,ウラジロエノキ,ニレ,Trema orientalis (L.) Blume,Trema_orientalis,Ulmaceae,sp,angiosperm,W,E,87,100,148.726,6,24.78766667,1.6611,,,0.277,111.6886086,0.432465504,99.31268449,0.358529547
,,,,,,,,,,,,,,,,,,,,,,
233,シマイズセンリョウ,ヤブコウジ,Maesa montana A.DC.  var. formosana (Mez) T.Yamaz.,Maesa_tenera,Primulaceae,sp,angiosperm,W,E,87,100,151.941,4,37.98525,1.4629,,,0.314,96.2807932,0.378891479,111.4084602,0.354804013
,,,,,,,,,,,,,,,,,,,,,,
234,イヌビワ,クワ,Ficus erecta Thunb.,Ficus_erecta,Moraceae,sp,angiosperm,W,D,87,100,143.21,6,23.86833333,1.4434,,,0.308,100.789051,0.367745223,91.67324722,0.297640413
,,,,,,,,,,,,,,,,,,,,,,
235,ウラジロエノキ,ニレ,Trema orientalis (L.) Blume,Trema_orientalis,Ulmaceae,sp,angiosperm,W,E,91,100,95.636,6,15.93933333,0.8475,,,0.3385,88.6172571,0.411208151,89.12676813,0.263299167
,,,,,,,,,,,,,,,,,,,,,,
236,ハゼノキ,ウルシ,Rhus succedanea L.,Rhus_succedanea,Anacardiaceae,sp,angiosperm,W,D,93,100,135.606,6,22.601,1.4991,,,0.2365,110.5482058,0.491347099,106.315502,0.449537006
,,,,,,,,,,,,,,,,,,,,,,
237,タブノキ,クスノキ,Machilus thunbergii Siebold et Zucc.,Machilus_thunbergii,Lauraceae,sp,angiosperm,W,E,84,100,104.423,6,17.40383333,1.8113,,,0.3425,173.4579547,0.507082867,154.0619849,0.449816014
,,,,,,,,,,,,,,,,,,,,,,
238,リュウキュウイチゴ,バラ,Rubus grayanus Maxim.,Rubus_grayanus,Rosaceae,sp,angiosperm,W,D,84,75,118.137,4,29.53425,1.2332,,,0.288,104.3872792,0.402480418,93.58310654,0.324941342
,,,,,,,,,,,,,,,,,,,,,,
239,ホウロクイチゴ,バラ,Rubus sieboldii Blume,Rubus_sieboldii,Rosaceae,sp,angiosperm,W,E,78,80,299.547,3,99.849,5.2969,4.0311,1.2658,0.54,176.8303472,0.461563262,103.7690229,0.192164857
,,,,,,,,,,,,,,,,,,,,,,
240,ナンバンキブシ,キブシ,Stachyurus praecox Siebold et Zucc.  var. lancifolius (Koidz.) H. Hara,Stachyurus_praecox_var_lancifolius,Stachyuraceae,var,angiosperm,W,D,85,100,232.88,3,77.62666667,2.3071,,0.1691,0.232,99.06818963,0.423088208,80.85071109,0.348494444
,,,,,,,,,,,,,,,,,,,,,,
241,タニワタリノキ,アカネ,Adina pilulifera (Lam.) Franch. ex Drake,Adina_pilulifera,Rubiaceae,sp,angiosperm,W,E,138,100,106.353,8,13.294125,0.9607,,,0.229,90.33125535,0.407767402,86.58028904,0.378079865
,,,,,,,,,,,,,,,,,,,,,,
242,シャシャンボ,ツツジ,Vaccinium bracteatum Thunb.,Vaccinium_bracteatum,Ericaceae,sp,angiosperm,W,E,138,100,78.961,15,5.264066667,0.8555,,,0.2925,108.3446258,0.396983759,94.85634608,0.3242952
,,,,,,,,,,,,,,,,,,,,,,
243,ハマゴウ,クマツヅラ,Vitex rotundifolia L.f.,Vitex_rotundifolia,Verbenaceae,sp,angiosperm,W,E,138,70,135.902,12,11.32516667,0.9764,,,0.314,71.84588895,0.290508777,78.304232,0.249376535
,,,,,,,,,,,,,,,,,,,,,,
244,シャシャンボ,ツツジ,Vaccinium bracteatum Thunb.,Vaccinium_bracteatum,Ericaceae,sp,angiosperm,W,E,138,70,74.186,10,7.4186,0.8557,,,0.339,115.3452134,0.390552259,116.5014183,0.343662001
,,,,,,,,,,,,,,,,,,,,,,
245,ネズミモチ,モクセイ,Ligustrum japonicum Thunb.,Ligustrum_japonicum,Oleaceae,sp,angiosperm,W,E,138,70,72.629,8,9.078625,0.8946,,,0.413,123.1739388,0.381981213,152.1521256,0.368407084
,,,,,,,,,,,,,,,,,,,,,,
246,ハスノハカズラ,ツヅラフジ,Stephania japonica (Thunb.) Miers,Stephania_japonica,Menispermaceae,sp,angiosperm,W,E,139,70,156.861,3,52.287,1.3199,1.1482,0.1717,0.297,84.14456111,0.337139208,78.304232,0.263650613
,,,,,,,,,,,,,,,,,,,,,,
247,アマクサギ,クマツヅラ,Clerodendrum trichotomum Thunb.  var. fargesii (Dode) Rehder,Clerodendrum_trichotomum_var_fargesii,Verbenaceae,var,angiosperm,W,D,139,100,145.813,8,18.226625,1.1872,,,0.205,81.41935218,0.38708836,76.39437268,0.372655477
,,,,,,,,,,,,,,,,,,,,,,
248,ハナガサノキ,アカネ,Morinda umbellata L.  subsp. obovata Y.Z.Ruan,Morinda_umbellata,Rubiaceae,sp,angiosperm,W,D,138,100,176.946,5,35.3892,1.2257,,,0.262,69.26972071,0.322977602,70.66479473,0.269712957
,,,,,,,,,,,,,,,,,,,,,,
249,ウドカズラ,ブドウ,Ampelopsis cantoniensis (Hook. et Arn.) Planch.  var. leeoides (Maxim.) F.Y.Lu,Ampelopsis_cantoniensis,Vitaceae,sp,angiosperm,W,D,138,70,108.279,10,10.8279,0.507,,,1.54,46.82348378,0.339812332,46.47324338,0.030177431
,,,,,,,,,,,,,,,,,,,,,,
250,ヤマビワ,アワブキ,Meliosma rigida Siebold et Zucc.,Meliosma_rigida,Sabiaceae,sp,angiosperm,W,E,134,100,134.899,4,33.72475,2.4827,2.3135,0.1692,0.3965,184.0413939,0.505538587,152.1521256,0.383738022
,,,,,,,,,,,,,,,,,,,,,,
251,アオモジ,クスノキ,Litsea cubeba (Lour.) Pers.,Litsea_cubeba,Lauraceae,sp,angiosperm,W,D,200,100,147.01,8,18.37625,0.8168,,,0.184,55.5608462,0.368259693,55.3859202,0.301010436
,,,,,,,,,,,,,,,,,,,,,,
252,フカノキ,ウコギ,Schefflera heptaphylla (L.) Frodin,Schefflera_heptaphylla,Araliaceae,sp,angiosperm,W,E,37,100,157.884,6,26.314,1.7603,,,0.2715,111.4932482,0.348436263,94.85634608,0.349378807
,,,,,,,,,,,,,,,,,,,,,,
253,ボチョウジ,アカネ,Psychotria rubra (Lour.) Poir.,Psychotria_rubra,Rubiaceae,sp,angiosperm,W,E,37,5,223.873,4,55.96825,1.3508,,,0.2655,60.3377808,0.207464291,57.93239929,0.218201127
,,,,,,,,,,,,,,,,,,,,,,
255,アデク,フトモモ,Syzygium buxifolium Hook. et Arn.,Syzygium_buxifolium,Myrtaceae,sp,angiosperm,W,E,37,20,57.655,8,7.206875,0.5128,,,0.2295,88.94284971,0.413215149,87.21690881,0.380030104
,,,,,,,,,,,,,,,,,,,,,,
256,タブノキ,クスノキ,Machilus thunbergii Siebold et Zucc.,Machilus_thunbergii,Lauraceae,sp,angiosperm,W,E,37,100,128.802,6,21.467,1.7691,,,0.312,137.3503517,0.436061129,122.2309963,0.391766014
,,,,,,,,,,,,,,,,,,,,,,
257,モクタチバナ,ヤブコウジ,Ardisia sieboldii Miq.,Ardisia_sieboldii,Primulaceae,sp,angiosperm,W,E,19,100,117.707,6,19.61783333,0.8387,,,1.354,71.2531965,0.284594503,76.39437268,0.05642125
,,,,,,,,,,,,,,,,,,,,,,
258,アコウ,クワ,Ficus superba (Miq.) Miq.  var. japonica Miq.,Ficus_superba_var_japonica,Moraceae,var,angiosperm,W,E,19,100,164.684,3,54.89466667,1.9416,,,0.2995,117.8985208,0.364962406,113.9549393,0.380483937
,,,,,,,,,,,,,,,,,,,,,,
259,サキシマフヨウ,アオイ,Hibiscus makinoi Jotani et H.Ohba,Hibiscus_makinoi,Malvaceae,sp,NA,NA,NA,18,100,413.139,3,137.713,1.9904,1.4479,0.5425,0.3155,48.1774899,0.162349103,40.74366543,0.129139986
,,,,,,,,,,,,,,,,,,,,,,
260,クチナシ,アカネ,Gardenia jasminoides Ellis,Gardenia_jasminoides,Rubiaceae,sp,angiosperm,W,E,14,30,140.714,4,35.1785,0.9139,,,0.194,64.94733999,0.351229823,58.56901906,0.30190216
,,,,,,,,,,,,,,,,,,,,,,
261,モッコク,ツバキ,Ternstroemia gymnanthera (Wight et Arn.) Bedd.,Ternstroemia_gymnanthera,Theaceae,sp,angiosperm,W,E,14,100,75.755,8,9.469375,1.3804,,,0.659,182.2189954,0.36712766,161.7014222,0.245373934
,,,,,,,,,,,,,,,,,,,,,,
262,コバンモチ,ホルトノキ,Elaeocarpus japonicus Siebold et Zucc.,Elaeocarpus_japonicus,Elaeocarpaceae,sp,angiosperm,W,E,51,100,109.584,6,18.264,1.381,1.2222,0.1588,0.37,126.022047,0.406654888,116.5014183,0.314868698
,,,,,,,,,,,,,,,,,,,,,,
263,シラタマカズラ,アカネ,Psychotria serpens L.,Psychotria_serpens,Rubiaceae,sp,angiosperm,W,E,51,50,25.689,10,2.5689,0.2348,,,0.4695,91.40098875,0.23064833,86.58028904,0.184409561
,,,,,,,,,,,,,,,,,,,,,,
264,ヒサカキ,ツバキ,Eurya japonica Thunb.,Eurya_japonica,Theaceae,sp,angiosperm,W,E,51,5,94.591,8,11.823875,0.7333,,,0.2635,77.5232316,0.32389576,71.30141451,0.270593603
,,,,,,,,,,,,,,,,,,,,,,
265,ネズミモチ,モクセイ,Ligustrum japonicum Thunb.,Ligustrum_japonicum,Oleaceae,sp,angiosperm,W,E,55,30,106.245,8,13.280625,1.2853,,,0.4545,120.9751047,0.353687397,126.0507149,0.277339307
,,,,,,,,,,,,,,,,,,,,,,
266,サクララン,ガガイモ,Hoya carnosa (L.f.) R.Br.,Hoya_carnosa,Apocynaceae,sp,angiosperm,W,E,55,50,138.872,4,34.718,2.0675,,,2.5805,148.8781036,0.082495411,162.9746617,0.063156234
,,,,,,,,,,,,,,,,,,,,,,
268,ツゲモチ,モチノキ,Ilex goshiensis Hayata,Ilex_goshiensis,Aquifoliaceae,sp,angiosperm,W,E,55,70,50.139,10,5.0139,0.6215,,,0.395,123.955404,0.365803414,119.0478974,0.301387082
,,,,,,,,,,,,,,,,,,,,,,
270,シマイズセンリョウ,ヤブコウジ,Maesa montana A.DC.  var. formosana (Mez) T.Yamaz.,Maesa_tenera,Primulaceae,sp,angiosperm,W,E,67,10,180.975,6,30.1625,1.0076,,,0.188,55.67619837,0.297051887,51.56620156,0.274288306
,,,,,,,,,,,,,,,,,,,,,,
271,ボチョウジ,アカネ,Psychotria rubra (Lour.) Poir.,Psychotria_rubra,Rubiaceae,sp,angiosperm,W,E,67,10,196.479,4,49.11975,1.4435,,,0.2645,73.46841138,0.236058872,65.57183655,0.247908645
,,,,,,,,,,,,,,,,,,,,,,
272,センリョウ,センリョウ,Sarcandra glabra (Thunb.) Nakai,Sarcandra_glabra,Chloranthaceae,sp,angiosperm,W,E,67,10,190.781,4,47.69525,1.0276,,,0.3025,53.86280604,0.223731766,46.47324338,0.153630557
,,,,,,,,,,,,,,,,,,,,,,
273,アブラギリ,トウダイグサ,Vernicia cordata (Thunb.) Airy Shaw,Vernicia_cordata,Euphorbiaceae,sp,angiosperm,W,D,65,100,593.697,3,197.899,6.2271,5.0441,1.183,0.231,104.8868362,0.379007912,84.67042972,0.366538657
,,,,,,,,,,,,,,,,,,,,,,
274,カラスザンショウ,ミカン,Zanthoxylum ailanthoides Siebold et Zucc.,Zanthoxylum_ailanthoides,Rutaceae,sp,angiosperm,W,D,65,100,195.181,8,24.397625,1.9807,,,0.3,101.4801646,0.379153905,91.03662745,0.303455425
,,,,,,,,,,,,,,,,,,,,,,
275,アオバノキ,ハイノキ,Symplocos cochinchinensis (Lour.) S.Moore,Symplocos_cochinchinensis,Symplocaceae,sp,angiosperm,W,E,70,100,241.069,4,60.26725,3.1778,,,0.3345,131.8211798,0.373770877,114.591559,0.342575662
,,,,,,,,,,,,,,,,,,,,,,
276,マルバニッケイ,クスノキ,Cinnamomum daphnoides Siebold et Zucc.,Cinnamomum_daphnoides,Lauraceae,sp,angiosperm,W,E,47,100,84.012,8,10.5015,1.8457,,,0.566,219.6948055,0.460503992,181.4366351,0.320559426
,,,,,,,,,,,,,,,,,,,,,,
277,タニワタリノキ,アカネ,Adina pilulifera (Lam.) Franch. ex Drake,Adina_pilulifera,Rubiaceae,sp,angiosperm,W,E,25,100,81.528,8,10.191,0.7569,,,0.2455,92.83926994,0.396282723,96.7662054,0.394159696
,,,,,,,,,,,,,,,,,,,,,,
278,アデク,フトモモ,Syzygium buxifolium Hook. et Arn.,Syzygium_buxifolium,Myrtaceae,sp,angiosperm,W,E,28,100,34.686,10,3.4686,0.4035,,,0.248,116.3293548,0.449331849,108.2253613,0.436392586
,,,,,,,,,,,,,,,,,,,,,,
279,モッコク,ツバキ,Ternstroemia gymnanthera (Wight et Arn.) Bedd.,Ternstroemia_gymnanthera,Theaceae,sp,angiosperm,W,E,28,100,73.861,8,9.232625,1.1931,,,0.583,161.5331501,0.354878049,154.0619849,0.264257264
,,,,,,,,,,,,,,,,,,,,,,
281,アオモジ,クスノキ,Litsea cubeba (Lour.) Pers.,Litsea_cubeba,Lauraceae,sp,angiosperm,W,D,32,60,76.47,8,9.55875,0.6369,,,0.2255,83.28756375,0.431504065,100.585924,0.446057313
,,,,,,,,,,,,,,,,,,,,,,
282,クチナシ,アカネ,Gardenia jasminoides Ellis,Gardenia_jasminoides,Rubiaceae,sp,angiosperm,W,E,32,30,141.366,6,23.561,1.2134,,,0.215,85.83393461,0.409379217,68.11831564,0.316829375
,,,,,,,,,,,,,,,,,,,,,,
283,サクラツツジ,ツツジ,Rhododendron tashiroi Maxim.,Rhododendron_tashiroi,Ericaceae,sp,angiosperm,W,E,32,40,45.309,8,5.663625,0.3907,,,0.2495,86.23010881,0.427461707,77.03099246,0.308741453
,,,,,,,,,,,,,,,,,,,,,,
284,モクレイシ,ニシキギ,Microtropis japonica (Franch. et Sav.) Hallier f.,Microtropis_japonica,Celastraceae,sp,angiosperm,W,E,31,40,79.322,8,9.91525,1.0324,,,0.365,130.1530471,0.385943925,122.2309963,0.334879442
,,,,,,,,,,,,,,,,,,,,,,
285,チシャノキ,ムラサキ,Ehretia acuminata R.Br.  var. obovata (Lindl.) I.M.Johnst.,,Boraginaceae,sp,NA,NA,NA,31,100,148.214,4,37.0535,1.5446,,,0.2845,104.2141768,0.458610451,96.12958563,0.33788958
,,,,,,,,,,,,,,,,,,,,,,
286,モチノキ,モチノキ,Ilex integra Thunb.,Ilex_integra,Aquifoliaceae,sp,angiosperm,W,E,22,70,53.974,8,6.74675,0.8282,,,0.4865,153.4442509,0.401454193,162.338042,0.333685595
,,,,,,,,,,,,,,,,,,,,,,
287,コウシュウウヤク,ツヅラフジ,Cocculus laurifolius DC.,Cocculus_laurifolius,Menispermaceae,sp,NA,NA,NA,31,30,134.856,6,22.476,1.3281,,,0.239,98.48282613,0.407642726,82.12395064,0.343614856
,,,,,,,,,,,,,,,,,,,,,,
288,サツキ,ツツジ,Rhododendron indicum (L.) Sweet,Rhododendron_indicum,Ericaceae,sp,angiosperm,W,E,31,100,9.537,14,0.681214286,0.0795,,,0.1935,83.35954703,0.516233766,,
,,,,,,,,,,,,,,,,,,,,,,
289,ヌルデ,ウルシ,Rhus javanica L.  var. chinensis (Mill.) T.Yamaz.,Rhus_javanica_var. chinensis,Anacardiaceae,var,NA,NA,NA,25,100,183.163,6,30.52716667,2.1998,,,0.301,120.1006754,0.425987607,113.9549393,0.378587838
,,,,,,,,,,,,,,,,,,,,,,
290,クサギ,クマツヅラ,Clerodendrum trichotomum Thunb.,Clerodendrum_trichotomum,Verbenaceae,sp,angiosperm,W,D,190,80,438.462,3,146.154,3.5391,3.0585,0.4806,0.249,80.71623083,0.270119066,67.48169587,0.271010827
,,,,,,,,,,,,,,,,,,,,,,
291,イソノキ,クロウメモドキ,Rhamnus crenata Siebold et Zucc.,Frangula_crenata,Rhamnaceae,sp,angiosperm,W,D,1691,60,129.787,6,21.63116667,0.6419,,,0.224,49.45795804,0.265797101,47.74648293,0.213153942
,,,,,,,,,,,,,,,,,,,,,,
292,シキミ,シキミ,Illicium anisatum L.,Illicium_anisatum,Schisandraceae,sp,angiosperm,W,E,51,100,42.698,8,5.33725,0.5395,,,0.397,126.3525224,0.348965071,144.5126883,0.364011809
,,,,,,,,,,,,,,,,,,,,,,
293,ミヤマビャクシン,ヒノキ,Sabina chinensis (L.) Antoine  var. sargentii (A.Henry) W.C.Cheng et L.K.Fu,Juniperus_chinensis_var_sargentii,0,var,gymnosperm,W,E,1689,100,8.991,15,0.5994,0.2872,,,1.3395,319.4305417,0.407838682,,
,,,,,,,,,,,,,,,,,,,,,,
294,イソノキ,クロウメモドキ,Rhamnus crenata Siebold et Zucc.,Frangula_crenata,Rhamnaceae,sp,angiosperm,W,D,1689,100,94.506,8,11.81325,0.8484,,,0.294,89.77207796,0.353647353,89.12676813,0.303152273
,,,,,,,,,,,,,,,,,,,,,,
295,サクラツツジ,ツツジ,Rhododendron tashiroi Maxim.,Rhododendron_tashiroi,Ericaceae,sp,angiosperm,W,E,1689,70,28.044,8,3.5055,0.3342,,,0.288,119.1698759,0.469382022,133.0535324,0.461991432
,,,,,,,,,,,,,,,,,,,,,,
296,サルトリイバラ,ユリ,Smilax china L.,Smilax_china,Smilacaceae,sp,angiosperm,W,E,1689,100,58.504,4,14.626,0.5106,,,0.2565,87.27608369,0.334162304,73.21127382,0.285424069
,,,,,,,,,,,,,,,,,,,,,,
297,ツゲ,ツゲ,Buxus microphylla Siebold et Zucc.  var. japonica (Muell.Arg. ex Miq.) Rehder et E.H.Wilson,Buxus_microphylla_var_japonica,Buxaceae,var,angiosperm,W,E,1689,100,21.547,14,1.539071429,0.3855,,,0.5355,178.9112173,0.414070892,213.9042435,0.3994477
,,,,,,,,,,,,,,,,,,,,,,
298,アセビ,ツツジ,Pieris japonica (Thunb.) D.Don ex G.Don,Pieris_japonica,Ericaceae,sp,angiosperm,W,E,1689,100,36.64,13,2.818461538,0.5464,,,0.4155,149.1266376,0.413000756,176.3436769,0.424413182
,,,,,,,,,,,,,,,,,,,,,,
299,ヒメバライチゴ,バラ,Rubus minusculus H.Lev. et Vaniot,Rubus_minusculus,Rosaceae,sp,angiosperm,W,D,1689,20,13.929,8,1.741125,0.0692,,,0.1405,49.68052265,0.483916084,,
,,,,,,,,,,,,,,,,,,,,,,
300,タンナサワフタギ,ハイノキ,Symplocos coreana (H.Lév.) Ohwi,Symplocos_coreana,Symplocaceae,sp,angiosperm,W,D,1689,100,61.056,10,6.1056,0.5332,,,0.2835,87.32966457,0.318518519,86.58028904,0.305397845
,,,,,,,,,,,,,,,,,,,,,,
301,ツゲ,ツゲ,Buxus microphylla Siebold et Zucc.  var. japonica (Muell.Arg. ex Miq.) Rehder et E.H.Wilson,Buxus_microphylla_var_japonica,Buxaceae,var,angiosperm,W,E,1681,0,,,,0.2712,,,0.33,,0.409049774,128.597194,0.389688467
,,,,,,,,,,,,,,,,,,,,,,
302,ツガ,マツ,Tsuga sieboldii Carriere,Tsuga_sieboldii,0,sp,gymnosperm,W,E,1672,100,8.653,65,0.133123077,0.1005,,,0.454,116.1446897,0.400398406,,
,,,,,,,,,,,,,,,,,,,,,,
303,モミ,マツ,Abies firma Siebold et Zucc.,Abies_firma,0,sp,gymnosperm,W,E,1672,100,11.922,27,0.441555556,0.2186,,,0.6915,183.3584969,0.43201581,,
,,,,,,,,,,,,,,,,,,,,,,
304,ツガ,マツ,Tsuga sieboldii Carriere,Tsuga_sieboldii,0,sp,gymnosperm,W,E,1665,100,11.631,72,0.161541667,0.1455,,,0.4085,125.0967243,0.463818935,,
,,,,,,,,,,,,,,,,,,,,,,
305,ユズリハ,ユズリハ,Daphniphyllum macropodum Miq.,Daphniphyllum_macropodum,Daphniphyllaceae,sp,angiosperm,W,E,1650,100,142.451,5,28.4902,2.6115,,,0.51,183.3261964,0.371268126,155.9718442,0.305827146
,,,,,,,,,,,,,,,,,,,,,,
306,ヤクシマホツツジ,ツツジ,Tripetalelia paniculata Sieb. et Zucc. f. paniculata T,Tripetaleia_paniculata,Ericaceae,sp,angiosperm,W,D,1648,80,29.003,10,2.9003,0.1851,,,0.1835,63.82098404,0.34727955,,
,,,,,,,,,,,,,,,,,,,,,,
307,オオカメノキ,スイカズラ,Viburnum furcatum Blume ex Maxim.,Viburnum_furcatum,Caprifoliaceae,sp,angiosperm,W,D,1643,70,175.654,3,58.55133333,1.1527,,,0.256,65.62332768,0.360556772,62.38873769,0.243706007
,,,,,,,,,,,,,,,,,,,,,,
308,アクシバモドキ,ツツジ,Vaccinium yakushimense Makino,Vaccinium_yakushimense,Ericaceae,sp,angiosperm,W,D,1643,10,50.131,10,5.0131,0.193,,,0.1895,38.49913227,0.278499278,42.65352475,0.225084563
,,,,,,,,,,,,,,,,,,,,,,
309,モミ,マツ,Abies firma Siebold et Zucc.,Abies_firma,0,sp,gymnosperm,W,E,1648,100,6.771,18,0.376166667,0.1526,,,0.6835,225.3729139,0.515540541,,
,,,,,,,,,,,,,,,,,,,,,,
310,モミ,マツ,Abies firma Siebold et Zucc.,Abies_firma,0,sp,gymnosperm,W,E,1648,100,12.508,23,0.543826087,0.269,,,0.809,215.0623601,0.440983607,,
,,,,,,,,,,,,,,,,,,,,,,
311,ナナカマド,バラ,Sorbus commixta Hedl.,Sorbus_commixta,Rosaceae,sp,angiosperm,W,D,1648,100,33.381,10,3.3381,0.2483,,,0.205,74.38363141,0.430329289,86.58028904,0.422342873
,,,,,,,,,,,,,,,,,,,,,,
312,コバノフユイチゴ,バラ,Rubus pectinellus Maxim.,Rubus_pectinellus,Rosaceae,sp,angiosperm,W,E,1643,10,47.111,6,7.851833333,0.1687,,,0.1535,35.80904672,0.313568773,31.83098862,0.207368004
,,,,,,,,,,,,,,,,,,,,,,
313,ヤシャブシ,カバノキ,Alnus firma Siebold et Zucc.,Alnus_firma,Betulaceae,sp,angiosperm,W,D,1713,100,62.212,6,10.36866667,0.7535,,,0.27,121.1181123,0.485502577,107.5887415,0.39847682
,,,,,,,,,,,,,,,,,,,,,,
314,ツルアジサイ,ユキノシタ,Hydrangea petiolaris Siebold et Zucc.,"Hydrangea_petiolaris ",Hydrangeaceae,sp,angiosperm,W,D,1713,30,77.716,6,12.95266667,0.3011,,,0.166,38.74363066,0.255819881,35.01408748,0.210928238
,,,,,,,,,,,,,,,,,,,,,,
315,ヤクシマホツツジ,ツツジ,Tripetalelia paniculata Sieb. et Zucc. f. paniculata T,Tripetaleia_paniculata,Ericaceae,sp,angiosperm,W,D,1712,50,31.816,10,3.1816,0.2254,,,0.19,70.84485793,0.392682927,73.21127382,0.385322494
,,,,,,,,,,,,,,,,,,,,,,
316,コショウノキ,ジンチョウゲ,Daphne kiusiana Miq.,Daphne_kiusiana,Thymelaeaceae,sp,angiosperm,W,E,1712,10,56.651,9,6.294555556,0.3297,,,0.21,58.1984431,0.291511936,43.92676429,0.209175068
,,,,,,,,,,,,,,,,,,,,,,
317,コバノフユイチゴ,バラ,Rubus pectinellus Maxim.,Rubus_pectinellus,Rosaceae,sp,angiosperm,W,E,1712,10,39.028,6,6.504666667,0.1444,,,0.1825,36.99907759,0.326696833,36.9239468,0.202322996
,,,,,,,,,,,,,,,,,,,,,,
318,ツゲ,ツゲ,Buxus microphylla Siebold et Zucc.  var. japonica (Muell.Arg. ex Miq.) Rehder et E.H.Wilson,Buxus_microphylla_var_japonica,Buxaceae,var,angiosperm,W,E,1688,65,26.421,12,2.20175,0.3432,,,0.414,129.8966731,0.399534342,153.4253651,0.370592669
,,,,,,,,,,,,,,,,,,,,,,
319,イソノキ,クロウメモドキ,Rhamnus crenata Siebold et Zucc.,Frangula_crenata,Rhamnaceae,sp,angiosperm,W,D,1688,100,59.456,9,6.606222222,0.5471,,,0.308,92.01762648,0.373957621,86.58028904,0.281104835
,,,,,,,,,,,,,,,,,,,,,,
320,ヤマボウシ,ミズキ,Cornus kousa Buerger ex Hance,Cornus_kousa,Cornaceae,sp,angiosperm,W,D,1688,100,81.171,6,13.5285,0.6649,,,0.23,81.91349127,0.435714286,79.57747155,0.345989007
,,,,,,,,,,,,,,,,,,,,,,
321,オオカメノキ,スイカズラ,Viburnum furcatum Blume ex Maxim.,Viburnum_furcatum,Caprifoliaceae,sp,angiosperm,W,D,1688,40,240.823,4,60.20575,1.707,,,0.24,70.88193403,0.365368151,59.8422586,0.249342744
,,,,,,,,,,,,,,,,,,,,,,
323,コハウチワカエデ,カエデ,Acer sieboldianum Miq.,Acer_sieboldianum,Sapindaceae,sp,angiosperm,W,D,1640,30,121.23,4,30.3075,0.7444,,,0.1615,61.40394292,0.442042755,57.29577951,0.354772629
,,,,,,,,,,,,,,,,,,,,,,
324,カナクギノキ,クスノキ,Lindera erythrocarpa Makino,Lindera_erythrocarpa,Lauraceae,sp,angiosperm,W,D,1166,100,65.779,10,6.5779,0.4984,,,0.226,75.7688624,0.435283843,75.75775291,0.335211296
,,,,,,,,,,,,,,,,,,,,,,
325,サカキ,ツバキ,Cleyera japonica Thunb.,Cleyera_japonica,Theaceae,sp,angiosperm,W,E,1166,80,28.247,6,4.707833333,0.5161,,,0.4365,182.7096683,0.427943615,182.7098747,0.418579323
,,,,,,,,,,,,,,,,,,,,,,
326,マルバヤマシグレ,スイカズラ,Viburnum urceolatum Siebold et Zucc.,Viburnum urceolatum f. brevifolium,Caprifoliaceae,f,angiosperm,W,D,1162,40,94.145,6,15.69083333,0.7396,,,0.2255,78.5596686,0.372219426,82.76057041,0.367009181
,,,,,,,,,,,,,,,,,,,,,,
327,ノリウツギ,ユキノシタ,Hydrangea paniculata Siebold,Hydrangea_paniculata,Hydrangeaceae,sp,angiosperm,W,D,1175,40,175.601,4,43.90025,0.943,,,0.262,53.70128872,0.245700886,55.3859202,0.211396642
,,,,,,,,,,,,,,,,,,,,,,
328,ショウベンノキ,ミツバウツギ,Turpinia ternata Nakai,Turpinia_ternata,Staphyleaceae,sp,angiosperm,W,E,220,100,167.714,4,41.9285,1.7774,,,0.3955,105.978034,0.315533464,120.321137,0.304225378
,,,,,,,,,,,,,,,,,,,,,,
329,ツルグミ,グミ,Elaeagnus glabra Thunb.,Elaeagnus_glabra,Elaeagnaceae,sp,angiosperm,W,E,169,40,54.59,5,10.918,0.5427,,,0.2895,99.41381205,0.41778291,85.94366927,0.296869324
,,,,,,,,,,,,,,,,,,,,,,
331,オガタマノキ,モクレン,Michelia compressa (Maxim.) Sarg.,Michelia_compressa,Magnoliaceae,sp,angiosperm,W,E,168,100,126.465,6,21.0775,1.4087,,,0.3495,111.3905033,0.341668688,81.48733086,0.233154022
,,,,,,,,,,,,,,,,,,,,,,
332,リュウキュウマメガキ,カキノキ,Diospyros japonica Siebold et Zucc.,Diospyros_japonica,Ebenaceae,sp,angiosperm,W,D,168,100,235.547,4,58.88675,3.2489,2.9931,0.2558,0.2585,137.9300097,0.468613876,106.9521218,0.413741283
,,,,,,,,,,,,,,,,,,,,,,
