Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,Garden,MAT,MAP,LT,LTdisc,LMAdisc,LDMCdisc,LDdisc,LMAleaf,LDMCleaf,LDleaf
Rhododendron leptothrium,Ailao_understory,20.83683333333333,Li Peifu,Ericaceae,Trees,E,STF,NO,11.7,1728,0.186777778,NA,99.71691437,0.455812655,0.533879969,78.0335299,0.40926467,0.417788083
Acer campbellii,Ailao_understory,62.616,Li Peifu,Sapindaceae,Trees,D,STF,NO,11.7,1728,0.158722222,NA,60.01415428,0.429879446,0.378108078,97.56168443,0.390090688,0.614669346
Cyclobalanopsis stewardiana,Ailao_understory,29.4655,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.156166667,NA,83.58103327,0.480725059,0.535204054,69.5569771,0.443455783,0.4454022
Betula alnoides,Ailao_understory,66.88983333333334,Li Peifu,Betulaceae,Trees,D,STF,NO,11.7,1728,0.146388889,NA,52.58315641,0.353031772,0.359201827,87.32111176,0.326719177,0.596500953
Rosa multiflora,Ailao_understory,15.334666666666667,Li Peifu,Rosaceae,Trees,E,STF,NO,11.7,1728,0.2145,NA,109.3418259,0.413676575,0.509752102,124.7145477,0.395751442,0.581419803
Lithocarpus pachyphyllus,Ailao_understory,39.44916666666666,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.236388889,NA,122.2222222,0.469818525,0.517038778,118.101369,0.466426544,0.499606261
Rhododendron delavayi,Ailao_understory,30.02,Li Peifu,Ericaceae,Trees,E,STF,NO,11.7,1728,0.436916667,NA,179.6886058,0.450154593,0.411265166,179.6752614,0.475500726,0.411234624
Cerasus cerasoides,Ailao_understory,37.73983333333334,Li Peifu,Rosaceae,Trees,D,STF,NO,11.7,1728,0.194666667,NA,61.57112526,0.360296125,0.316290026,94.08509554,0.327205818,0.483313846
Neolitsea chui,Ailao_understory,44.599333333333334,Li Peifu,Lauraceae,Trees,E,STF,NO,11.7,1728,0.301611111,NA,104.670913,0.405916175,0.347039314,112.8376116,0.443823844,0.374116229
Strychnos cathayensis,Ailao_understory,27.554833333333335,Li Peifu,Loganiaceae,Lias,E,STF,NO,11.7,1728,0.153055556,NA,89.52583156,0.507539128,0.584923762,83.60592723,0.413808438,0.546245621
Machilus gamblei,Ailao_understory,43.412,Li Peifu,Lauraceae,Trees,E,STF,NO,11.7,1728,0.193333333,NA,104.1755131,0.481981273,0.538838862,100.8363671,0.378819555,0.521567417
Anisoptera costata,Garden_dipterocarps,67.53633333333333,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.124458333,NA,64.50860836,0.460913122,0.518314899,87.88325448,0.424828771,0.706125917
Dipterocarpus alatus,Garden_dipterocarps,89.245,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.160666667,NA,73.27833577,0.48029297,0.456089226,85.32368189,0.36658347,0.53106026
Dipterocarpus gracilis,Garden_dipterocarps,114.6976,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.149083333,NA,92.00143477,0.434692743,0.617114153,88.00930833,0.416041807,0.590336334
Dipterocarpus intricatus,Garden_dipterocarps,164.3253,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.198125,NA,101.6857963,0.453791049,0.513240612,163.1832567,0.489844647,0.823637889
Dipterocarpus obtusifolius,Garden_dipterocarps,98.5535,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.274958333,NA,109.7022956,0.502464685,0.39897789,130.8860185,0.443687292,0.476021283
Dipterocarpus retusus,Garden_dipterocarps,354.0983,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.144541667,NA,71.23385944,0.378423153,0.492825778,174.8095434,0.45229013,1.20940589
Dipterocarpus rigidus,Garden_dipterocarps,207.352,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.163416667,NA,92.75466289,0.459849305,0.5675961,124.8411355,0.391117995,0.763943714
Dipterocarpus tuberculatus,Garden_dipterocarps,1409.9281,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.198375,NA,84.84576762,0.403440493,0.427703933,81.22782372,0.311565923,0.40946603
Dipterocarpus turbinatus,Garden_dipterocarps,139.75333333333333,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.145291667,NA,70.05021525,0.437243906,0.48213512,78.85572655,0.387769015,0.542740875
Dipterocarpus zeylanicus,Garden_dipterocarps,112.60366666666667,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.13925,NA,61.97991395,0.401840618,0.445098125,68.49505751,0.345088359,0.491885512
Hopea chinensis,Garden_dipterocarps,26.5716,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.122583333,NA,74.56958397,0.552402801,0.608317478,79.71577689,0.473372285,0.650298658
Hopea hainanensis,Garden_dipterocarps,58.861666666666665,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.158416667,NA,83.23170736,0.513320084,0.525397415,89.86255786,0.431658565,0.567254441
Hopea hongayensis,Garden_dipterocarps,49.9236,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.150166667,NA,73.54734581,0.448127247,0.489771447,92.15076544,0.438161282,0.613656594
Hopea mollisima,Garden_dipterocarps,38.5538,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.129791667,NA,70.15781927,0.525386809,0.540541784,93.8037948,0.522810848,0.722725865
Hopea odorata,Garden_dipterocarps,44.31885714285714,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.168875,NA,96.78981354,0.515065252,0.573144714,97.98663029,0.447816472,0.580231712
Hopea reticulata,Garden_dipterocarps,36.9475,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.177375,NA,82.31707322,0.439656192,0.464084979,96.10431417,0.438126267,0.541814315
Parashorea chinensis,Garden_dipterocarps,54.950428571428574,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.124208333,NA,76.07604022,0.521465308,0.61248741,72.18934063,0.386629356,0.581195632
Shorea assamica,Garden_dipterocarps,62.5292,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.119833333,NA,67.52152084,0.438634459,0.563461928,80.70458146,0.384862397,0.673473561
Shorea gratissima,Garden_dipterocarps,71.759,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.141625,NA,91.08680063,0.502571199,0.643154815,104.1643676,0.480961133,0.735494211
Shorea henryana,Garden_dipterocarps,64.55183333333333,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.158708333,NA,81.45624108,0.484994488,0.513244891,99.70424905,0.408717243,0.628223151
Shorea hypochra,Garden_dipterocarps,71.56633333333333,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.167375,NA,95.98278341,0.531646334,0.573459498,113.9370605,0.471235826,0.680729264
Shorea leprosula,Garden_dipterocarps,67.40283333333333,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.133375,NA,64.88522242,0.465838486,0.486487141,78.2912596,0.439950097,0.587001009
Shorea robusta,Garden_dipterocarps,75.31733333333334,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.155583333,NA,73.97776188,0.410747963,0.475486419,101.087345,0.398665729,0.649731196
