no,Species,APG.family,Growthform,EveDec,LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LD LMA,TD
,,,,,,,,,,,,
74,Diplomorpha_pauciflora_var_yakusimensis,Euphorbiaceae,W,D,13.77111111,0.9005,0.8691,0.0314,0.195,72.65612393,75.75775291,0.388501297
,,,,,,,,,,,,
75,Machilus_thunbergii,Lauraceae,W,E,14.378375,2.1301,1.9663,0.1638,0.3385,185.1826093,168.7042397,0.49838771
,,,,,,,,,,,,
76,Buddleja_curviflora,Scrophulariaceae,W,D,30.23483333,1.9991,1.8956,0.1035,0.36,110.1985017,,
,,,,,,,,,,,,
77,Lonicera_affinis,Caprifoliaceae,W,ED,12.6684,1.1919,1.1465,0.0454,0.274,94.0844937,89.12676813,0.325280176
,,,,,,,,,,,,
78,Eurya_japonica,Theaceae,W,E,6.257,1.0363,1.0098,0.0265,0.397,138.0187523,153.4253651,0.386461877
,,,,,,,,,,,,
79,Premna_microphylla,Verbenaceae,W,D,8.58,0.7863,0.7438,0.0425,0.2755,91.64335664,94.85634608,0.344306156
,,,,,,,,,,,,
80,Viburnum_odoratissimum_var_awabuki,Caprifoliaceae,W,E,27.12116667,2.7046,2.5022,0.2024,0.8005,166.2047478,131.7802929,0.164622477
,,,,,,,,,,,,
81,Euscaphis_japonica,Staphyleaceae,W,D,16.52466667,1.1683,1.1438,0.0245,0.2805,117.8339452,101.8591636,0.363134273
,,,,,,,,,,,,
82,Uncaria_rynchophylla,Rubiaceae,W,E,21.848875,1.4333,1.3827,0.0506,0.2025,82.00078951,73.84789359,0.364680956
,,,,,,,,,,,,
83,Ficus_superba_var_japonica,Moraceae,W,E,40.11125,1.9788,1.789,0.1898,0.2495,123.3319829,106.9521218,0.428665819
,,,,,,,,,,,,
84,Elaeocarpus_japonicus,Elaeocarpaceae,W,E,11.68575,1.4955,1.3606,0.1349,0.3625,159.9704769,140.6929697,0.388118537
,,,,,,,,,,,,
85,Symplocos_prunifolia,Symplocaceae,W,E,8.3192,1.0651,1.0216,0.0435,0.2745,128.0291374,108.2253613,0.394263611
,,,,,,,,,,,,
86,Ternstroemia_gymnanthera,Theaceae,W,E,6.676909091,1.3715,1.3387,0.0328,0.6545,186.7358331,178.2535363,0.272350705
,,,,,,,,,,,,
87,Morinda_umbellata,Rubiaceae,W,D,15.550125,0.7711,0.7385,0.0326,0.2135,61.98503227,50.29296202,0.235564225
,,,,,,,,,,,,
88,Trema_orientalis,Ulmaceae,W,E,18.7525,2.044,1.9812,0.0628,0.332,108.9988002,98.03944494,0.295299533
,,,,,,,,,,,,
89,Sorbus_commixta,Rosaceae,W,D,7.673666667,0.9255,0.9255,0,0.1875,80.40484775,79.57747155,0.424413182
,,,,,,,,,,,,
90,Symplocos_coreana,Symplocaceae,W,D,7.962,0.4988,0.4745,0.0243,0.3185,62.64757599,58.56901906,0.18389017
,,,,,,,,,,,,
91,Cryptomeria_japonica,Cupressaceae,W,E,0.110380952,0.0304,0.0304,,0.888,110.1639344,,
,,,,,,,,,,,,
92,Smilax_china,Smilacaceae,W,E,22.74714286,0.9749,0.9311,0.0438,0.327,61.22589964,56.65915974,0.173269602
,,,,,,,,,,,,
93,Elaeagnus_yakusimensis,Elaeagnaceae,W,D,3.8524,0.2457,0.2266,0.0191,0.2495,63.77842384,55.3859202,0.221987656
,,,,,,,,,,,,
94,Vaccinium_yakushimense,Ericaceae,W,D,3.904333333,0.3171,0.3063,0.0108,0.1985,67.68120891,60.47887837,0.304679488
,,,,,,,,,,,,
95,Pieris_japonica,Ericaceae,W,E,2.145944444,0.6957,0.6524,0.0433,0.441,180.1071789,193.5324108,0.438849004
,,,,,,,,,,,,
96,Cornus_kousa,Cornaceae,W,D,17.7205,0.6143,0.5961,0.0182,0.173,57.77677455,49.65634224,0.28703088
,,,,,,,,,,,,
97,Clethra_barbinervis,Clethraceae,W,D,28.85471429,1.7023,1.5776,0.1247,0.2435,84.27937005,60.47887837,0.248373217
,,,,,,,,,,,,
98,Rhododendron_yakusimanum,Ericaceae,W,E,14.7871,5.1194,4.548,0.5714,0.656,346.2071671,233.6394565,0.356157708
,,,,,,,,,,,,
99,Trochodendron_aralioides,Trochodendraceae,W,E,21.4375,2.0877,1.8659,0.2218,0.381,162.3090379,119.0478974,0.312461673
,,,,,,,,,,,,
100,Tripterygium_doianum,Celastraceae,W,D,20.9225,0.7803,0.7174,0.0629,0.2315,62.15796391,59.20563883,0.2557479
,,,,,,,,,,,,
101,Symplocos_myrtacea,Symplocaceae,W,E,2.7242667,0.2563,0.2431,0.0132,0.3065,62.72024276,100.585924,0.328175935
,,,,,,,,,,,,
102,Stewartia_monadelpha,Theaceae,W,D,11.22825,0.8077,0.7689,0.0388,0.2915,89.91828646,91.03662745,0.312304039
,,,,,,,,,,,,
103,Eurya_yakushimensis,Theaceae,W,E,0.91525,0.1876,0.1806,0.007,0.5295,128.1070746,,
,,,,,,,,,,,,
104,Elaeagnus_yakusimensis,Elaeagnaceae,W,D,5.74075,0.3108,0.2892,0.0216,0.2845,67.6740844,65.57183655,0.230480972
,,,,,,,,,,,,
105,Frangula_crenata,Rhamnaceae,W,D,14.184375,0.6264,0.5919,0.0345,0.2155,55.20158625,50.29296202,0.233378014
,,,,,,,,,,,,
106,Alnus_firma,Betulaceae,W,D,17.42175,1.5061,1.423,0.0831,0.2245,108.0617619,93.58310654,0.416851254
,,,,,,,,,,,,
107,Smilax_biflora,Smilacaceae,W,E,0.342285714,0.021,0.0198,0.0012,0.178,43.8230384,,
,,,,,,,,,,,,
108,Daphniphyllum_macropodum,Daphniphyllaceae,W,E,49.887,3.7023,3.2028,0.4995,0.4605,148.427446,131.7802929,0.286167846
,,,,,,,,,,,,
109,Chamaecyparis_obtusa,Cupressaceae,W,E,2.268833333,0.5594,0.5594,0,1.273,205.465364,,
,,,,,,,,,,,,
110,Kalopanax_septemlobus,Araliaceae,W,D,63.747,1.8615,1.5545,0.307,0.2825,97.33791394,88.49014836,0.313239463
,,,,,,,,,,,,
111,Acer_sieboldianum,Sapindaceae,W,D,37.23683333,1.643,1.385,0.258,0.194,73.53829765,60.47887837,0.311746796
,,,,,,,,,,,,
112,Neolitsea_aciculata,Lauraceae,W,E,9.8564,1.7242,,,0.389,174.9320239,155.3352245,0.399319343
,,,,,,,,,,,,
113,Symplocos_kuroki,Symplocaceae,W,E,7.919545455,1.5398,,,0.5275,176.7548643,208.1746656,0.394643916
,,,,,,,,,,,,
114,Erycibe_henryi,Convolvulaceae,W,E,47.93783333,1.5555,,,0.261,54.08045837,49.65634224,0.190254185
,,,,,,,,,,,,
115,Actinodaphne_acuminata,Lauraceae,W,E,23.56642857,1.7463,,,0.3155,105.8588185,96.7662054,0.306707466
,,,,,,,,,,,,
116,Camellia_japonica,Theaceae,W,E,9.659888889,1.6693,,,0.4415,192.0081897,165.5211408,0.374906321
,,,,,,,,,,,,
117,Kadsura_japonica,Schisandraceae,W,E,18.3461,0.7277,,,0.3675,56.66443705,47.10986316,0.128190104
,,,,,,,,,,,,
118,Rhododendron_tashiroi,Ericaceae,W,E,4.209571429,0.7432,,,0.3735,126.1071707,124.1408556,0.332371769
,,,,,,,,,,,,
121,Eurya_yakushimensis,Theaceae,W,E,0.995666667,0.3104,,,0.5285,148.4528194,,
,,,,,,,,,,,,
124,Symplocos_coreana,Symplocaceae,W,D,5.491416667,0.4259,,,0.3815,64.63116682,62.38873769,0.163535354
,,,,,,,,,,,,
125,Daphniphyllum_macropodum,Daphniphyllaceae,W,E,27.006875,3.65,3.1785,0.4715,0.551,168.9384647,141.3295895,0.256496533
,,,,,,,,,,,,
126,Illicium_anisatum,Schisandraceae,W,E,10.16255556,1.1343,,,0.382,124.0173622,86.58028904,0.226649971
,,,,,,,,,,,,
127,Eurya_yakushimensis,Theaceae,W,E,9.892363636,0.3249,,,0.418,16.42175783,,
,,,,,,,,,,,,
128,Cornus_kousa,Cornaceae,W,D,10.91109091,0.8371,,,0.225,69.74554665,57.29577951,0.254647909
,,,,,,,,,,,,
129,Trochodendron_aralioides,Trochodendraceae,W,E,9.758727273,1.4673,,,0.357,136.688838,119.6845172,0.335250748
,,,,,,,,,,,,
130,Juniperus_chinensis_var_sargentii,Cupressaceae,W,E,0.581434783,0.4132,,,1.193,308.9807822,,
,,,,,,,,,,,,
131,Rhododendron_tashiroi,Ericaceae,W,E,2.788727273,0.4466,,,0.4085,145.586126,125.4140952,0.307011249
,,,,,,,,,,,,
132,Symplocos_myrtacea,Symplocaceae,W,E,5.052375,0.3413,,,0.2555,84.44048591,68.75493542,0.269099552
,,,,,,,,,,,,
133,Rhododendron_yakusimanum,Ericaceae,W,E,9.4083,2.6551,,,0.637,282.2082629,220.2704412,0.345793471
,,,,,,,,,,,,
135,Cryptomeria_japonica,Cupressaceae,W,E,0.072231132,0.3009,,,1.07,196.4997061,,
,,,,,,,,,,,,
136,Elaeagnus_yakusimensis,Elaeagnaceae,W,D,4.763352941,0.7151,,,0.3,88.30902602,85.94366927,0.286478898
,,,,,,,,,,,,
137,Clethra_barbinervis,Clethraceae,W,D,11.0082,0.7687,,,0.2815,69.82976327,68.11831564,0.241983359
,,,,,,,,,,,,
138,Symplocos_myrtacea,Symplocaceae,W,E,3.26775,0.3248,,,0.551,82.82967383,64.93521678,0.117849758
,,,,,,,,,,,,
139,Sorbus_commixta,Rosaceae,W,D,4.575411765,0.6518,,,0.2175,83.79830809,87.85352859,0.403924269
,,,,,,,,,,,,
140,"Hydrangea_petiolaris ",Hydrangeaceae,W,D,12.294,0.6691,,,0.3215,54.42492273,39.47042589,0.122769598
,,,,,,,,,,,,
141,Trochodendron_aralioides,Trochodendraceae,W,E,11.31527273,1.6565,,,0.392,133.0864158,111.4084602,0.284205256
,,,,,,,,,,,,
142,Cryptomeria_japonica,Cupressaceae,W,E,0.027308411,0.0589,,,,201.5742642,,
,,,,,,,,,,,,
143,Kalopanax_septemlobus,Araliaceae,W,D,45.9815,1.9229,1.6467,0.2762,0.2815,104.5474811,95.49296586,0.339229008
,,,,,,,,,,,,
144,Rhododendron_yakusimanum,Ericaceae,W,E,9.432666667,2.5738,,,0.5935,227.3835607,220.2704412,0.371138064
,,,,,,,,,,,,
145,Pieris_japonica,Ericaceae,W,E,3.838357143,0.8931,,,0.4625,166.1983363,177.6169165,0.384036576
,,,,,,,,,,,,
146,Styrax_ japonica,Styracaceae,W,D,9.493666667,0.9676,,,0.244,84.93381553,87.85352859,0.360055445
,,,,,,,,,,,,
147,Quercus_salicina,Fagaceae,W,E,13.08155556,1.8467,,,0.437,156.8535852,152.1521256,0.3481742
,,,,,,,,,,,,
148,Quercus_acuta,Fagaceae,W,E,23.41785714,2.8201,,,0.3955,172.0359921,152.1521256,0.384708282
,,,,,,,,,,,,
149,Camellia_japonica,Theaceae,W,E,9.930125,1.3076,,,0.443,164.6001435,158.5183233,0.357829172
,,,,,,,,,,,,
151,Symplocos_prunifolia,Symplocaceae,W,E,5.692076923,1.2154,,,0.3565,164.249902,154.6986047,0.43393718
,,,,,,,,,,,,
153,Dendropanax_trifidus,Araliaceae,W,E,34.622,2.6593,2.2093,0.45,0.304,128.0159051,90.40000768,0.297368446
,,,,,,,,,,,,
154,Quercus_acuta,Fagaceae,W,E,17.321125,2.0473,,,0.356,147.7458883,133.0535324,0.373745878
,,,,,,,,,,,,
