Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,2,9.213,0.094,0.235666667,102.0297406,0.432940908,0.889,0.0064,0.201666667,71.99100112,0.356980171
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,3,9.668,0.1001,0.236666667,103.5374431,0.437482154,0.889,0.0062,0.187,69.74128234,0.372948034
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,4,8.273,0.0672,0.182,81.22809138,0.446308194,0.889,0.0067,0.209,75.3655793,0.360600858
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,5,8.748,0.0697,0.197,79.67535437,0.404443423,0.889,0.0066,0.174666667,74.24071991,0.42504229
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,6,7.685,0.0611,0.189333333,79.50553025,0.419923575,0.889,0.0077,0.211333333,86.61417323,0.409846246
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,1,11.586,0.1559,0.326333333,134.5589505,0.412335905,0.889,0.0103,0.3,115.8605174,0.386201725
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,2,9.795,0.1255,0.313,128.1265952,0.409350144,0.889,0.0104,0.315666667,116.9853768,0.370597815
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,3,8.792,0.1132,0.308,128.7534122,0.418030559,0.889,0.0112,0.323,125.984252,0.390044124
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,4,7.901,0.0971,0.310333333,122.895836,0.396012361,0.889,0.0094,0.303666667,105.7367829,0.348200163
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,5,10.555,0.1341,0.321,127.048792,0.395790629,0.889,0.0104,0.317666667,116.9853768,0.368264565
Camellia forrestii,Theaceae,T,E,single,Ailao_underground,STF,Chen Yajun,113,6,11.318,0.1526,0.328333333,134.8294752,0.410648148,0.889,0.0105,0.301333333,118.1102362,0.391958749
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,1,59.634,0.3664,0.322,61.44145957,0.190811986,0.889,0.0074,0.349666667,83.23959505,0.238054133
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,2,58.216,0.6678,0.414333333,114.7107324,0.276856152,0.889,0.0087,0.359333333,97.86276715,0.272345363
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,3,39.164,0.3352,0.312666667,85.58880605,0.273738186,0.889,0.0084,0.354,94.48818898,0.266915788
