Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Schima noronhae,Theaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,79.30192393265921,96.16169647166667,0.28341700233333333,0.36930733383333336,0.3386177908333333,0.36193174116666665,0.2605555555,0.2637222223333333,42.36233333333333
Semecarpus reticulatus,Anacardiaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,95.202059052671,108.64735650333333,0.3431893696666667,0.3877250885,0.3777772486666667,0.37858202916666667,0.2794444443333333,0.26155555566666666,62.566833333333335
Pseuduvaria trimera,Annonaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,73.33937326044615,75.33376751333333,0.43499592266666665,0.47036567766666665,0.41557426216666665,0.4281770671666667,0.1600555555,0.1595555555,72.9675
Uncaria macrophylla,Rubiaceae,L,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,93.41329386231526,96.50598043666666,0.273902794,0.2961921891666667,0.49973040316666667,0.3967914965,0.3254444445,0.32083333333333336,64.65866666666666
Pometia tomentosa,Sapindaceae,T,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,74.53188339559553,81.87767972333333,0.6160439808333333,0.6537450093333333,0.6327324026666666,0.48820070416666667,0.125388889,0.1145,88.26766666666667
Diospyros hasseltii,Ebenaceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,72.34561481743317,82.79321743999999,0.27488791166666665,0.32729310933333333,0.34259981500000003,0.30287581933333335,0.2517222221666667,0.24705555566666665,85.4765
Castanopsis indica,Fagaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,116.26973810462067,118.54280798333333,0.37281472216666667,0.385144888,0.5470018728333333,0.4874005298333333,0.308388889,0.296,43.53666666666667
Colona thorelii,Malvaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,73.14062157184355,67.44867893166668,0.29569155233333333,0.291322335,0.4368227755,0.4113815375,0.23194444466666667,0.23255555566666666,37.993
Barringtonia macrostachya,Lecythidaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,97.38832763436714,89.106991055,0.36203275283333336,0.34253932766666667,0.41471935016666667,0.29180731816666666,0.26027777766666665,0.25377777766666665,159.04266666666666
Lindera metcalfiana,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,56.44547969212068,69.49318402666667,0.3424153615,0.45220052483333334,0.42069656516666665,0.3916235358333333,0.15366666666666667,0.155111111,58.251333333333335
